,Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
90,KFLOKI/USDC:USDC,8.824679325266889,10.94984183561793
91,BOME/USDC:USDC,8.70560865946222,10.94984183561793
92,ETHFI/USDC:USDC,9.211031980331713,10.94984183561793
93,ENA/USDC:USDC,17.38957886719414,11.432510863731967
94,MNT/USDC:USDC,10.795332267422804,10.94984183561793
95,TNSR/USDC:USDC,10.949841835617931,10.94984183561793
96,SAGA/USDC:USDC,10.949841835617931,10.94984183561793
97,MERL/USDC:USDC,-117.01981517806645,10.94984183561793
98,HBAR/USDC:USDC,10.949841835617931,10.94984183561793
99,POPCAT/USDC:USDC,10.95716310843764,10.94984183561793
100,OMNI/USDC:USDC,-76.42516620236121,-237.45099935223152
101,EIGEN/USDC:USDC,10.949841835617931,10.94984183561793
102,REZ/USDC:USDC,2.1075786286261584,10.94984183561793
