Symbol,7 Day Average Funding Rate (Annualized %),Current Funding Rate (Annualized %)
PLAY/USDT:USDT,165.25114285714284,264.036781928739
A2Z/USDT:USDT,11.002142857142855,16.726514416348323
ESPORTS/USDT:USDT,-11.987642857142859,55.526585365486014
ZRC/USDT:USDT,10.37642857142857,14.40502342766233
TREE/USDT:USDT,-50.43257142857143,15.09986349757587
TAG/USDT:USDT,32.130428571428574,57.77323496676389
ZORA/USDT:USDT,34.80014285714286,52.26983003453929
ASP/USDT:USDT,10.532857142857143,5.341214486544235
CVX/USDT:USDT,10.345142857142857,14.592638963814647
TA/USDT:USDT,46.30807142857143,58.95474818165819
ERA/USDT:USDT,10.454642857142856,16.335155381196103
ES/USDT:USDT,-19.939428571428568,7.806296027701605
TAC/USDT:USDT,46.22464285714286,51.2894376728075
VELVET/USDT:USDT,13.134785714285712,153.92363773910807
C/USDT:USDT,20.455642857142863,53.23534009747093
PUMP/USDT:USDT,54.969,55.391857401214395
USELESS/USDT:USDT,55.438285714285705,66.83315660410591
AIN/USDT:USDT,10.736214285714288,63.557967610362155
CROSS/USDT:USDT,11.737357142857142,8.042693472068121
M/USDT:USDT,-2597.39256,337.30411857595925
IDOL/USDT:USDT,15.090142857142858,12.327954123377726
BULLA/USDT:USDT,22.473571428571425,28.33744135286685
ICNT/USDT:USDT,12.039785714285713,4.642118087465454
SAHARA/USDT:USDT,11.784285714285714,9.702200557639491
H/USDT:USDT,11.064714285714288,7.19313456057846
NEWT/USDT:USDT,-175.1374285714286,11.34340693638189
F/USDT:USDT,-7.237428571428572,17.51892914171728
MYX/USDT:USDT,215.8026,-2545.625762141992
SPK/USDT:USDT,-109.07764285714285,-1.7035179683607182
SQD/USDT:USDT,11.153357142857141,7.074462664966168
RESOLV/USDT:USDT,10.209571428571431,8.236343162842907
HOME/USDT:USDT,11.247214285714286,16.09991236842417
SKATE/USDT:USDT,23.5425,180.83450137114679
LA/USDT:USDT,10.381642857142857,7.495795367886073
BTCDOM/USDT:USDT,29.700571428571426,18.357596542076166
ETHBTC/USDT:USDT,-3.066,-0.2419225095033145
1000000BOB/USDT:USDT,233.9702142857143,225.4958293408272
BDXN/USDT:USDT,41.06250000000001,17.633164187782988
MERL/USDT:USDT,-111.10600000000002,-1.842485921931172
SOPH/USDT:USDT,11.695642857142857,11.510236702466994
A/USDT:USDT,10.491142857142856,13.783874989574107
HUMA/USDT:USDT,16.758714285714284,58.73003093736857
HOUSE/USDT:USDT,16.93078571428571,15.097435573456991
SOON/USDT:USDT,7.5815714285714275,6.168211334497889
B/USDT:USDT,11.528785714285714,63.11220690108353
AWE/USDT:USDT,9.938428571428572,8.51896830470152
AGT/USDT:USDT,49.90592857142857,80.70753805126083
ZKJ/USDT:USDT,11.539214285714287,7.065211716004736
OG/USDT:USDT,10.585,8.864624101704067
DOOD/USDT:USDT,14.813785714285713,25.525913338847367
SXT/USDT:USDT,1.2462142857142855,6.790867581178539
OBOL/USDT:USDT,11.825999999999999,10.393278589274017
SYRUP/USDT:USDT,49.608714285714285,54.82853207363405
MILK/USDT:USDT,71.99885714285715,143.2447897087779
B2/USDT:USDT,30.858142857142855,115.15605723468751
ALPINE/USDT:USDT,27.703500000000002,14.98690495871437
ASR/USDT:USDT,1.3035714285714286,5.5971997676482514
